ID,Temp_Text,Subject
MATH01,ما هو القاسم المشترك الأكبر (PGCD) للعددين {N1} و {N2}؟,الأعداد الطبيعية والناطقة
MATH02,هل العددان {N1} و {N2} أوليان فيما بينهما؟,الأعداد الطبيعية والناطقة
MATH03,بسط العبارة التالية لأصغر شكل ممكن: {Expression},الحساب على الجذور
MATH04,اكتب الكسر {N1}/{N2} على شكل كسر غير قابل للاختزال:,الأعداد الطبيعية والناطقة
MATH05,في مثلث قائم طول وتره {H} وطول أحد ضلعيه {A} فإن طول الضلع الثالث هو:,خاصية فيثاغورس وطاليس
MATH06,إذا كان x² = {N1} فإن قيم x الممكنة هي:,الحساب على الجذور
MATH07,انشر ويسط العبارة التالية: {Expression},الحساب الحرفي
